CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLCHI355,TABALAOPA-ALDAMA 4,,835,TABALAOPA-ALDAMA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,ALDAMA,ACUÍFERO TABALAOPA-ALDAMA,SUBTERRÁNEO,POZO,28.66866,-106.01828
DLCHI356,PRESA LUIS L. LEON 9,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,ALDAMA,PRESA L. LEON,LÉNTICO (HUMEDAL),PRESA,28.96984,-105.29129
DLCHI357,PRESA LUIS L. LEON 10,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,PRESA L. LEON,LÉNTICO (HUMEDAL),PRESA,28.97921,-105.27562
DLCHI358,TABALAOPA-ALDAMA 3,,835,TABALAOPA-ALDAMA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,ACUÍFERO TABALAOPA-ALDAMA,SUBTERRÁNEO,POZO,28.72523,-105.93553
DLCHI359,RIO CHUVISCAR 2,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,RIO CHUVISCAR,LÓTICO,RÍO,28.7063,-105.9821
DLCHI359M1,MEOQUI-DELICIAS (21-A),,831,MEOQUI-DELICIAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,DELICIAS,ACUÍFERO MEOQUI-DELICIAS,SUBTERRÁNEO,POZO,28.23409,-105.39353
DLCHI360,RIO CHUVISCAR 5,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,RIO CHUVISCAR,LÓTICO,RÍO,28.71177,-105.98519
DLCHI361,TABALAOPA-ALDAMA 1,,835,TABALAOPA-ALDAMA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,ACUÍFERO TABALAOPA-ALDAMA,SUBTERRÁNEO,POZO,28.72672,-105.95289
DLCHI362,TABALAOPA-ALDAMA 2,,835,TABALAOPA-ALDAMA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,ALDAMA,ACUÍFERO TABALAOPA-ALDAMA,SUBTERRÁNEO,POZO,28.78626,-105.99929
DLCHI363,RIO CHUVISCAR 1,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,ALDAMA,RIO CHUVISCAR,LÓTICO,RÍO,28.82087,-105.9223
DLCHI364,PRESA CHIHUAHUA 2,RÍO CHUVISCAR,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,PRESA CHIHUAHUA,LÉNTICO,PRESA,28.57073,-106.16902
DLCHI364M1,MEOQUI-DELICIAS (M-28),,831,MEOQUI-DELICIAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,JULIMES,ACUÍFERO MEOQUI-DELICIAS,SUBTERRÁNEO,POZO,28.42294,-105.41464
DLCHI365,ARROYO - CONFLUENTE CHUVISCAR PRESA CHIHUAHUA 1,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,ARROYO,LÉNTICO,PRESA,28.57382,-106.11463
DLCHI365M1,MEOQUI-DELICIAS (15-A),,831,MEOQUI-DELICIAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,ROSALES,ACUÍFERO MEOQUI-DELICIAS,SUBTERRÁNEO,POZO,28.17861111,-105.565
DLCHI366,PRESA CHUVISCAR 3,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,PRESA CHUVISCAR,LÉNTICO,PRESA,28.60466,-106.11446
DLCHI367,PRESA CHUVISCAR 2,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,PRESA CHUVISCAR,LÉNTICO,PRESA,28.60249,-106.11559
DLCHI367M1,MEOQUI-DELICIAS (M-16),,831,MEOQUI-DELICIAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,DELICIAS,ACUÍFERO MEOQUI-DELICIAS,SUBTERRÁNEO,POZO,28.09053,-105.52504
DLCHI368,PRESA CHUVISCAR 1,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,PRESA CHUVISCAR,LÉNTICO,PRESA,28.60445,-106.11663
DLCHI369,PRESA EL REJON 2,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,PRESA EL REJON ZN,LÉNTICO,PRESA,28.61447,-106.12436
DLCHI370,PRESA EL REJON 1,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,PRESA EL REJON,LÉNTICO,PRESA,28.6136,-106.13148
DLCHI371,PRESA LUIS L. LEON 3,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,ALDAMA,PRESA LUIS L. LEON,LÉNTICO (HUMEDAL),PRESA,28.87382,-105.30391
DLCHI372,PRESA LUIS L. LEON 2,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,ALDAMA,PRESA LUIS L. LEON,LÉNTICO (HUMEDAL),PRESA,28.91117,-105.30691
DLCHI373,PRESA LUIS L. LEON 1,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,ALDAMA,PRESA LUIS L. LEON,LÉNTICO (HUMEDAL),PRESA,28.92445,-105.30842
DLCHI374,PRESA LUIS L. LEON 4,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,ALDAMA,PRESA LUIS L. LEON,LÉNTICO (HUMEDAL),PRESA,28.96204,-105.30365
